scope,path,name,size,mtime,sha1,url_count,post_key_count,read_status,read_note
madoyo,C:\Users\ding9\Desktop\madoyo\아카이브\처리됨kk\kkthreads_live_report_0204_1354.xlsx,kkthreads_live_report_0204_1354.xlsx,19919,2026-02-04 14:21:37,82794fec65d6f9b0fa0f48788efdd8c4ec678273,93,92,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\아카이브\처리됨kk\kkthreads_live_report_0209_1510.xlsx,kkthreads_live_report_0209_1510.xlsx,12316,2026-02-09 15:21:54,c535fd3a007f8517526cde7db9c044053ac9cb39,44,44,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\아카이브\처리됨kk\kkthreads_night_report_0206_0228.xlsx,kkthreads_night_report_0206_0228.xlsx,88510,2026-02-06 16:31:11,4eabfa348a7112ad5ff56679646da536ca69020e,500,492,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\아카이브\처리됨kk\kkthreads_slow_report_0209_0323.xlsx,kkthreads_slow_report_0209_0323.xlsx,9430,2026-02-09 12:02:09,a3330ef1ad336e506d7c1239db8030511b3949e5,24,24,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\아카이브\처리됨kk\kkthreads_slow_report_0209_1206.xlsx,kkthreads_slow_report_0209_1206.xlsx,38166,2026-02-09 13:49:18,672e178c576b6403a9a576413cda6bd3641446a7,196,194,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\01_posts_long_audit.xlsx,01_posts_long_audit.xlsx,403668,2026-05-01 01:19:33,a550123a461f94a386aa3e753d34ed7d1a6c942e,731,731,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\02_media_group_audit.xlsx,02_media_group_audit.xlsx,45324,2026-05-01 01:19:33,7ce3829dfef46ae926f5d9b3ab2c1b26544e6325,731,731,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\03_same_media_groups_wide.xlsx,03_same_media_groups_wide.xlsx,137866,2026-05-01 01:19:33,1a27aabc7b13c56733215400b8a2498dc93eb84c,630,630,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\04_train_benchmark_split_candidates.xlsx,04_train_benchmark_split_candidates.xlsx,7655,2026-05-01 01:12:07,8376e3e08d8e915ce7fc581a4a2aa9ac269fd1f3,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\05_missing_or_uncertain_rows.xlsx,05_missing_or_uncertain_rows.xlsx,16640,2026-05-01 01:19:33,0fa5e8cab5ab377154816fbe3a69268d8c191372,20,20,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\06_final_clear_pair_benchmark_20260501.xlsx,06_final_clear_pair_benchmark_20260501.xlsx,8575,2026-05-01 02:20:18,e37e2490fc17ddc221d9b697fc608f11d64b79b8,45,45,ok,
