scope,file_path,url,post_key
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTXzr34k05o,2seo_log/post/DTXzr34k05o
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTelO9fk5CB,2seo_log/post/DTelO9fk5CB
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTelZ87E_za,2seo_log/post/DTelZ87E_za
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTiJYrLEzEt,2seo_log/post/DTiJYrLEzEt
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTklVYUE8hN,2seo_log/post/DTklVYUE8hN
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTmYIEEE83P,2seo_log/post/DTmYIEEE83P
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTmbi2_k1lk,2seo_log/post/DTmbi2_k1lk
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTp-8Sck1fy,2seo_log/post/DTp-8Sck1fy
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTp_wTUk_Z7,2seo_log/post/DTp_wTUk_Z7
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTsirBIkwf9,2seo_log/post/DTsirBIkwf9
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTskwXVE1HQ,2seo_log/post/DTskwXVE1HQ
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTsm4NVExYM,2seo_log/post/DTsm4NVExYM
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTt3yb0k_yd,2seo_log/post/DTt3yb0k_yd
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTu2eUuE8H2,2seo_log/post/DTu2eUuE8H2
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTu35eVkyPT,2seo_log/post/DTu35eVkyPT
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTuwjk-k2tM,2seo_log/post/DTuwjk-k2tM
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTxHnO-E56r,2seo_log/post/DTxHnO-E56r
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTxJHxIE4jV,2seo_log/post/DTxJHxIE4jV
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DTxLGlXkydM,2seo_log/post/DTxLGlXkydM
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUAuFYRE15z,2seo_log/post/DUAuFYRE15z
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUBQRmBE8Rb,2seo_log/post/DUBQRmBE8Rb
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUDstXCkwMa,2seo_log/post/DUDstXCkwMa
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUGdGW-ExcY,2seo_log/post/DUGdGW-ExcY
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUI6D6XE75c,2seo_log/post/DUI6D6XE75c
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DULaKPrEwbc,2seo_log/post/DULaKPrEwbc
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUOAJS6E2ZC,2seo_log/post/DUOAJS6E2ZC
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUOBYBWE1Kk,2seo_log/post/DUOBYBWE1Kk
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUQpZDtk9zi,2seo_log/post/DUQpZDtk9zi
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUTLdhNEwIY,2seo_log/post/DUTLdhNEwIY
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUVzfTTk3Cv,2seo_log/post/DUVzfTTk3Cv
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUa2TWaE1PP,2seo_log/post/DUa2TWaE1PP
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUc7PvREyT2,2seo_log/post/DUc7PvREyT2
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUlEchxkxHs,2seo_log/post/DUlEchxkxHs
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUlPEANk5pQ,2seo_log/post/DUlPEANk5pQ
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUlPbb5k-OQ,2seo_log/post/DUlPbb5k-OQ
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DUnzeOUE1bm,2seo_log/post/DUnzeOUE1bm
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@2seo_log/post/DVwAN-vk9PO,2seo_log/post/DVwAN-vk9PO
