scope,path,name,size,mtime,sha1
correctbody_embedding_outputs,C:\Users\ding9\Desktop\correctbody\embedding_outputs\excel_not_in_pkl_1930.pkl,excel_not_in_pkl_1930.pkl,65278506,2026-05-22 17:29:22,ca0de7dbdb32d762a334db3da605a2de9a365025
correctbody_embedding_outputs,C:\Users\ding9\Desktop\correctbody\embedding_outputs\my_accounts_ml_1083.pkl,my_accounts_ml_1083.pkl,61242192,2026-05-22 17:29:25,2f611747fdb8723db0e89b735e323014b8d4e438
correctbody_embedding_outputs,C:\Users\ding9\Desktop\correctbody\embedding_outputs\original_update_113_candidate.pkl,original_update_113_candidate.pkl,6253085,2026-05-22 17:29:25,8f1dd72df9579d0a3397e4ccc5855e9bab7b03e8
e_drive,E:\debug_but_itsreal\threads_live_report_0413_1948_embeddings_v2_final.pkl,threads_live_report_0413_1948_embeddings_v2_final.pkl,2499476,2026-04-19 01:53:56,ad71cb565a1cbff642558882e233721313f12500
e_drive,E:\내꺼도토리\threads_slow_report_0430_1724_text_embeddings_20260501.pkl,threads_slow_report_0430_1724_text_embeddings_20260501.pkl,7833210,2026-05-01 01:35:20,18c95efdfdc2e0c05909749e0fcd30baa4bc4a0a
e_drive,E:\내꺼세희\threads_slow_report_0430_0112_text_embeddings_20260501.pkl,threads_slow_report_0430_0112_text_embeddings_20260501.pkl,6994251,2026-05-01 01:36:02,6c70923f3463412044ddb1a3199acaabc70ccff4
e_drive,E:\내꺼파스\threads_slow_report_0430_1258_text_embeddings_20260501.pkl,threads_slow_report_0430_1258_text_embeddings_20260501.pkl,5622514,2026-05-01 01:34:16,55f9f000f351df7362be1d0f8aaaabd0559154ae
