relative_path,source_path,archive_path,moved_path,size,source_sha1,archive_sha1,moved_sha1,status,note
데이터 참조\임베딩미완\zNex~$hare미완료_1138건_최종.xlsx,C:\Users\ding9\Desktop\madoyo\데이터 참조\임베딩미완\zNex~$hare미완료_1138건_최종.xlsx,E:\madoyo_excel_archive_20260522\from_madoyo\데이터 참조\임베딩미완\zNex~$hare미완료_1138건_최종.xlsx,C:\Users\ding9\Desktop\폐기\madoyo_cleanup_20260522\excel_from_madoyo\데이터 참조\임베딩미완\zNex~$hare미완료_1138건_최종.xlsx,668,3ffd0bf0c56b40d8344d0401442d031498ff23b1,3ffd0bf0c56b40d8344d0401442d031498ff23b1,3ffd0bf0c56b40d8344d0401442d031498ff23b1,moved,python residual excel scan
수동화\zNex~$harethreads_links_first_comments.xlsx,C:\Users\ding9\Desktop\madoyo\수동화\zNex~$harethreads_links_first_comments.xlsx,E:\madoyo_excel_archive_20260522\from_madoyo\수동화\zNex~$harethreads_links_first_comments.xlsx,C:\Users\ding9\Desktop\폐기\madoyo_cleanup_20260522\excel_from_madoyo\수동화\zNex~$harethreads_links_first_comments.xlsx,668,3ffd0bf0c56b40d8344d0401442d031498ff23b1,3ffd0bf0c56b40d8344d0401442d031498ff23b1,3ffd0bf0c56b40d8344d0401442d031498ff23b1,moved,python residual excel scan
수동화\zNex~$harethreads_links_report_0429_2252_수동화결과_0429_2255.xlsx,C:\Users\ding9\Desktop\madoyo\수동화\zNex~$harethreads_links_report_0429_2252_수동화결과_0429_2255.xlsx,E:\madoyo_excel_archive_20260522\from_madoyo\수동화\zNex~$harethreads_links_report_0429_2252_수동화결과_0429_2255.xlsx,C:\Users\ding9\Desktop\폐기\madoyo_cleanup_20260522\excel_from_madoyo\수동화\zNex~$harethreads_links_report_0429_2252_수동화결과_0429_2255.xlsx,668,3ffd0bf0c56b40d8344d0401442d031498ff23b1,3ffd0bf0c56b40d8344d0401442d031498ff23b1,3ffd0bf0c56b40d8344d0401442d031498ff23b1,moved,python residual excel scan
자동화\자동화참조\업로드완료\zNex~$hare0306-2.xlsx,C:\Users\ding9\Desktop\madoyo\자동화\자동화참조\업로드완료\zNex~$hare0306-2.xlsx,E:\madoyo_excel_archive_20260522\from_madoyo\자동화\자동화참조\업로드완료\zNex~$hare0306-2.xlsx,C:\Users\ding9\Desktop\폐기\madoyo_cleanup_20260522\excel_from_madoyo\자동화\자동화참조\업로드완료\zNex~$hare0306-2.xlsx,668,3ffd0bf0c56b40d8344d0401442d031498ff23b1,3ffd0bf0c56b40d8344d0401442d031498ff23b1,3ffd0bf0c56b40d8344d0401442d031498ff23b1,moved,python residual excel scan
